iter	Logloss
0	0.657147314
1	0.6182195849
2	0.5845765992
3	0.5586479731
4	0.5325543559
5	0.5141582214
6	0.4919429966
7	0.4783198846
8	0.466523038
9	0.448007366
10	0.4391647796
11	0.4278466615
12	0.420675453
13	0.4141604448
14	0.4077663366
15	0.4021800999
16	0.3937465328
17	0.3891642165
18	0.3814934674
19	0.3756877808
20	0.3718570257
21	0.3684366402
22	0.3650876567
23	0.3623010868
24	0.3598455858
25	0.3543890515
26	0.3499164988
27	0.3477484348
28	0.3456419782
29	0.3374136724
30	0.3354950551
31	0.3302908028
32	0.3264068927
33	0.3231783028
34	0.322242642
35	0.3207674152
36	0.3194040957
37	0.3165207474
38	0.3152834076
39	0.3132728275
40	0.3122301457
41	0.3088910029
42	0.3062237249
43	0.3052385379
44	0.3044055956
45	0.3037143081
46	0.3018920523
47	0.3010145796
48	0.3003713142
49	0.2996105527
50	0.2990469272
51	0.2984677883
52	0.2974690758
53	0.2961598806
54	0.295504387
55	0.2948465251
56	0.2926357004
57	0.2922011055
58	0.2915218401
59	0.2910906889
60	0.290612661
61	0.2898229273
62	0.2894325944
63	0.2890252388
64	0.288354415
65	0.2879770327
66	0.2875766089
67	0.2871212563
68	0.2864759742
69	0.2843917739
70	0.2840054435
71	0.2835961565
72	0.2830865633
73	0.2826249918
74	0.2820413426
75	0.28180585
76	0.2813141074
77	0.2810194733
78	0.28062716
79	0.2794409728
80	0.2789885612
81	0.278680719
82	0.2782533862
83	0.2777735203
84	0.2769525224
85	0.2765898373
86	0.2761587157
87	0.2757983802
88	0.2753768897
89	0.2751370693
90	0.2748197373
91	0.2738053726
92	0.2727165546
93	0.2722737659
94	0.2720601684
95	0.2716972193
96	0.2714513494
97	0.2709593387
98	0.2707131945
99	0.2705100399
100	0.2700779266
101	0.2697576823
102	0.2693355145
103	0.2690664253
104	0.2688013478
105	0.2671082694
106	0.2668180044
107	0.2666269458
108	0.2663056083
109	0.2659126376
110	0.2657817695
111	0.265402928
112	0.2651836943
113	0.264865766
114	0.2646019628
115	0.264361377
116	0.2642848431
117	0.2636834297
118	0.2634387337
119	0.2631803591
120	0.2629527757
121	0.2626182769
122	0.2623147289
123	0.2619513051
124	0.2616499738
125	0.2612802018
126	0.2610819415
127	0.2608333597
128	0.2604084243
129	0.2602009696
130	0.2600662673
131	0.25981056
132	0.2595863623
133	0.2593122101
134	0.2589727833
135	0.2587188565
136	0.2585160471
137	0.2582787469
138	0.257965025
139	0.2578500636
140	0.257848155
141	0.2575257851
142	0.2573885317
143	0.2570501583
144	0.2568639093
145	0.2565406167
146	0.2561603999
147	0.2559141731
148	0.2554619185
149	0.2552762824
150	0.254985364
151	0.2548526453
152	0.2545186076
153	0.2542609966
154	0.2541379003
155	0.2539276876
156	0.2536347615
157	0.253377962
158	0.2532138698
159	0.2529752831
160	0.252785292
161	0.2526941488
162	0.2525557379
163	0.252177461
164	0.2519952986
165	0.2517640088
166	0.2514298641
167	0.2511403043
168	0.2507892609
169	0.2505176931
170	0.2501165321
171	0.2498234956
172	0.2495384124
173	0.2493321748
174	0.2491195371
175	0.2488097332
176	0.2484644531
177	0.2482668547
178	0.2481164996
179	0.248003079
180	0.2477691419
181	0.2474528706
182	0.2472844875
183	0.2468330257
184	0.2465842609
185	0.2462085459
186	0.2460445441
187	0.2458405769
188	0.2455995445
189	0.2453873266
190	0.2452329582
191	0.2448517822
192	0.2446989694
193	0.2443791132
194	0.2441797562
195	0.2439201026
196	0.2436473191
197	0.2428052696
198	0.2425651312
199	0.2423853972
200	0.2422298035
201	0.241962091
202	0.2416496393
203	0.2414468651
204	0.2412054924
205	0.2410237959
206	0.2407639072
207	0.2405733438
208	0.2404316759
209	0.2402272366
210	0.2400038842
211	0.2398575396
212	0.2396738502
213	0.2394316031
214	0.2392061493
215	0.239069059
216	0.2388851786
217	0.2386439944
218	0.2384914239
219	0.2383367702
220	0.2379945901
221	0.237702039
222	0.2374623694
223	0.2371785726
224	0.2369396138
225	0.2367105455
226	0.2365172435
227	0.236317548
228	0.2361720248
229	0.2359597944
230	0.2358308156
231	0.2356608976
232	0.2354124286
233	0.2352241488
234	0.235046313
235	0.2348809877
236	0.2347226999
237	0.2344390272
238	0.2341289072
239	0.2338407397
240	0.2337477551
241	0.2335046312
242	0.2333302956
243	0.233056223
244	0.2328969562
245	0.2328134239
246	0.2325547469
247	0.2324058692
248	0.2322119177
249	0.2319651222
250	0.2318540117
251	0.2316682845
252	0.2314283701
253	0.231189343
254	0.2309947787
255	0.230791125
256	0.230652878
257	0.2303297469
258	0.2301054832
259	0.2298208651
260	0.2295612731
261	0.229301508
262	0.2290194668
263	0.2287712442
264	0.228606795
265	0.2284232919
266	0.2282713362
267	0.2280594422
268	0.2279177879
269	0.2277692303
270	0.2275928638
271	0.2272725943
272	0.2271111081
273	0.226740725
274	0.2265847333
275	0.2262413145
276	0.2260979588
277	0.2258335676
278	0.2256110331
279	0.2253384363
280	0.2252153994
281	0.2249299521
282	0.224536908
283	0.2243794141
284	0.2242233295
285	0.2240727229
286	0.2238702963
287	0.2236923462
288	0.2235553195
289	0.2234810373
290	0.2231736855
291	0.22293067
292	0.2227145733
293	0.2224713332
294	0.2223146481
295	0.2220923285
296	0.2218977351
297	0.2216389008
298	0.2215550084
299	0.2212963266
