Model,Accuracy,Precision,Recall,F1-Score,Confusion Matrix,AUC Score
Logistic Regression,0.7945984363894811,0.6203966005665722,0.5855614973262032,0.6024759284731774,"[[899 134]
 [155 219]]",0.842187750749336
Decision Tree,0.7412935323383084,0.5123762376237624,0.553475935828877,0.532133676092545,"[[836 197]
 [167 207]]",0.6822504413188315
Random Forest,0.7789623312011372,0.5887323943661972,0.5588235294117647,0.5733882030178327,"[[887 146]
 [165 209]]",0.8248261902666549
Gradient Boost,0.7974413646055437,0.6143958868894601,0.6390374331550802,0.6264744429882044,"[[883 150]
 [135 239]]",0.8451980369724233
Extreme Gradient Boosting,0.7853589196872779,0.5821917808219178,0.6818181818181818,0.6280788177339901,"[[850 183]
 [119 255]]",0.8434120546044697
